"","ruta","millas","costo"
"1","Dallas-Austin",178,125
"2","Houston-Dallas",232,123
"3","Chicago-Detroit",238,148
"4","Chicago-San Luis",262,136
"5","Chicago-Cleveland",301,129
"6","Chicago-Atlanta",593,162
"7","Nueva York-Miami",1092,224
"8","Nueva York-San Juan",1608,264
"9","Nueva York-Chicago",714,287
"10","Chicago-Denver",901,256
"11","Dallas-Salt Lake",1005,365
"12","Nueva York-Dallas",1374,459
"13","Chicago-Seattle",1736,424
"14","Los Angeles-Chicago",1757,361
"15","Los Angeles-Atlanta",1946,309
"16","Nueva York-Los Angeles",2463,444
"17","Los Angeles-Honolulu",2556,323
"18","Nueva York-San Francisco",2574,513
