"","id","title","artist","mood","mood.cod","tempo","tempo.cod","genre","genre.cod","artist_type","artist_type.cod","durationSeg","durationSeg.cod","chart_date","agnioChar_date.numero","anioNacimiento","anioNacimiento.numero","age","age.cod","top"
"1",0,"Small Town Throwdown","BRANTLEY GILBERT featuring JUSTIN MOORE & THOMAS RHETT","Brooding",4,"Medium Tempo",1,"Traditional",2,"Male",3,191,2,20140628,2014,"1975",1975,39,4,"0"
"2",1,"Bang Bang","JESSIE J, ARIANA GRANDE & NICKI MINAJ","Energizing",6,"Medium Tempo",1,"Pop",3,"Female",2,368,6,20140816,2014,"1989",1989,25,1,"0"
"3",2,"Timber","PITBULL featuring KE$HA","Excited",5,"Medium Tempo",1,"Urban",3,"Mixed",1,223,3,20140118,2014,"1993",1993,21,NA,"1"
"4",3,"Sweater Weather","THE NEIGHBOURHOOD","Brooding",4,"Medium Tempo",1,"Alternative & Punk",1,"Male",3,206,2,20140104,2014,"1989",1989,25,1,"0"
"5",4,"Automatic","MIRANDA LAMBERT","Yearning",4,"Medium Tempo",1,"Traditional",2,"Female",2,232,3,20140301,2014,"0",1982,32,3,"0"
"6",5,"Where Is At (Yep Yep)","DUSTIN LYNCH","Upbeat",5,"Medium Tempo",1,"Traditional",2,"Male",3,219,3,20140531,2014,"1990",1990,24,1,"0"
"7",6,"Single Ladies (Put A Ring On It)","BEYONCE","Cool",5,"Slow Tempo",0,"Urban",3,"Female",2,43,0,20081213,2008,"1981",1981,27,2,"1"
"8",7,"Me And My Broken Heart","RIXTON","Urgent",3,"Fast Tempo",2,"Pop",3,"Male",3,557,6,20140412,2014,"1973",1973,41,4,"0"
"9",8,"I Luh Ya Papi","JENNIFER LOPEZ featuring FRENCH MONTANA","Aggressive",4,"Medium Tempo",1,"Urban",3,"Female",2,182,2,20140329,2014,"1969",1969,45,5,"0"
"10",9,"Chocolate","THE 1975","Yearning",4,"Medium Tempo",1,"Alternative & Punk",1,"Male",3,347,6,20140208,2014,"0",1982,32,3,"0"
"11",10,"Fancy","IGGY AZALEA featuring CHARLI XCX","Energizing",6,"Medium Tempo",1,"Urban",3,"Female",2,197,2,20140607,2014,"1974",1974,40,4,"1"
