"","edad","genero","estado","feliz"
"1",21,"FEMENINO","BAJA CALIFORNIA","NO FELIZ"
"2",18,"FEMENINO","NUEVO LEÓN","NO FELIZ"
"3",30,"FEMENINO","TAMAULIPAS","FELIZ"
"4",23,"FEMENINO","NUEVO LEÓN","NO FELIZ"
"5",47,"MASCULINO","TAMAULIPAS","FELIZ"
"6",38,"FEMENINO","DURANGO","NO FELIZ"
"7",63,"FEMENINO","BAJA CALIFORNIA SUR","FELIZ"
"8",56,"MASCULINO","BAJA CALIFORNIA","FELIZ"
"9",30,"FEMENINO","COAHUILA","NO FELIZ"
"10",54,"MASCULINO","CHIHUAHUA","FELIZ"
"11",65,"MASCULINO","BAJA CALIFORNIA SUR","NO FELIZ"
"12",27,"FEMENINO","NUEVO LEÓN","FELIZ"
"13",28,"MASCULINO","BAJA CALIFORNIA SUR","NO FELIZ"
"14",39,"MASCULINO","COAHUILA","NO FELIZ"
"15",47,"FEMENINO","DURANGO","NO FELIZ"
"16",25,"MASCULINO","BAJA CALIFORNIA","NO FELIZ"
"17",36,"MASCULINO","CHIHUAHUA","NO FELIZ"
"18",36,"MASCULINO","BAJA CALIFORNIA","FELIZ"
"19",24,"MASCULINO","BAJA CALIFORNIA","NO FELIZ"
"20",18,"FEMENINO","SONORA","FELIZ"
"21",41,"FEMENINO","TAMAULIPAS","NO FELIZ"
"22",19,"MASCULINO","CHIHUAHUA","FELIZ"
"23",38,"FEMENINO","BAJA CALIFORNIA","NO FELIZ"
"24",38,"FEMENINO","TAMAULIPAS","NO FELIZ"
"25",60,"MASCULINO","DURANGO","NO FELIZ"
"26",54,"FEMENINO","BAJA CALIFORNIA SUR","FELIZ"
"27",30,"MASCULINO","COAHUILA","NO FELIZ"
"28",22,"FEMENINO","BAJA CALIFORNIA","FELIZ"
"29",65,"MASCULINO","COAHUILA","NO FELIZ"
"30",25,"MASCULINO","BAJA CALIFORNIA","FELIZ"
"31",61,"MASCULINO","NUEVO LEÓN","FELIZ"
"32",30,"FEMENINO","NUEVO LEÓN","FELIZ"
"33",28,"MASCULINO","BAJA CALIFORNIA","FELIZ"
"34",46,"FEMENINO","TAMAULIPAS","NO FELIZ"
"35",52,"MASCULINO","DURANGO","FELIZ"
"36",36,"MASCULINO","BAJA CALIFORNIA","NO FELIZ"
"37",22,"MASCULINO","NUEVO LEÓN","FELIZ"
"38",36,"FEMENINO","TAMAULIPAS","NO FELIZ"
"39",40,"MASCULINO","DURANGO","NO FELIZ"
"40",39,"FEMENINO","BAJA CALIFORNIA","NO FELIZ"
"41",31,"MASCULINO","DURANGO","NO FELIZ"
"42",48,"MASCULINO","NUEVO LEÓN","FELIZ"
"43",39,"FEMENINO","BAJA CALIFORNIA","FELIZ"
"44",61,"FEMENINO","COAHUILA","FELIZ"
"45",39,"MASCULINO","NUEVO LEÓN","FELIZ"
"46",36,"MASCULINO","TAMAULIPAS","FELIZ"
"47",30,"FEMENINO","COAHUILA","FELIZ"
"48",61,"MASCULINO","TAMAULIPAS","NO FELIZ"
"49",30,"FEMENINO","TAMAULIPAS","NO FELIZ"
"50",46,"FEMENINO","COAHUILA","NO FELIZ"
"51",46,"MASCULINO","BAJA CALIFORNIA","NO FELIZ"
"52",43,"FEMENINO","BAJA CALIFORNIA SUR","FELIZ"
"53",20,"MASCULINO","TAMAULIPAS","FELIZ"
"54",56,"FEMENINO","COAHUILA","FELIZ"
"55",23,"FEMENINO","TAMAULIPAS","FELIZ"
"56",21,"MASCULINO","DURANGO","FELIZ"
"57",56,"FEMENINO","BAJA CALIFORNIA","NO FELIZ"
"58",55,"FEMENINO","COAHUILA","NO FELIZ"
"59",54,"MASCULINO","SONORA","FELIZ"
"60",58,"FEMENINO","SONORA","FELIZ"
"61",36,"FEMENINO","NUEVO LEÓN","FELIZ"
"62",52,"MASCULINO","NUEVO LEÓN","FELIZ"
"63",23,"FEMENINO","CHIHUAHUA","FELIZ"
"64",54,"MASCULINO","NUEVO LEÓN","FELIZ"
"65",37,"FEMENINO","BAJA CALIFORNIA SUR","FELIZ"
"66",57,"FEMENINO","BAJA CALIFORNIA SUR","FELIZ"
"67",41,"FEMENINO","TAMAULIPAS","NO FELIZ"
"68",60,"FEMENINO","COAHUILA","FELIZ"
"69",41,"FEMENINO","CHIHUAHUA","FELIZ"
"70",39,"FEMENINO","BAJA CALIFORNIA","FELIZ"
"71",58,"FEMENINO","NUEVO LEÓN","NO FELIZ"
"72",27,"MASCULINO","NUEVO LEÓN","FELIZ"
"73",55,"MASCULINO","SONORA","NO FELIZ"
"74",40,"FEMENINO","COAHUILA","NO FELIZ"
"75",61,"MASCULINO","COAHUILA","NO FELIZ"
"76",28,"MASCULINO","TAMAULIPAS","FELIZ"
"77",49,"FEMENINO","CHIHUAHUA","NO FELIZ"
"78",18,"MASCULINO","DURANGO","FELIZ"
"79",60,"MASCULINO","COAHUILA","FELIZ"
"80",41,"FEMENINO","NUEVO LEÓN","FELIZ"
"81",41,"MASCULINO","TAMAULIPAS","FELIZ"
"82",25,"FEMENINO","TAMAULIPAS","FELIZ"
"83",61,"MASCULINO","BAJA CALIFORNIA","FELIZ"
"84",25,"MASCULINO","TAMAULIPAS","NO FELIZ"
"85",33,"MASCULINO","CHIHUAHUA","NO FELIZ"
"86",20,"FEMENINO","TAMAULIPAS","FELIZ"
"87",65,"FEMENINO","CHIHUAHUA","FELIZ"
"88",61,"FEMENINO","DURANGO","FELIZ"
"89",37,"FEMENINO","COAHUILA","NO FELIZ"
"90",26,"MASCULINO","SONORA","FELIZ"
"91",45,"FEMENINO","DURANGO","FELIZ"
"92",24,"MASCULINO","TAMAULIPAS","NO FELIZ"
"93",48,"FEMENINO","NUEVO LEÓN","NO FELIZ"
"94",48,"FEMENINO","CHIHUAHUA","NO FELIZ"
"95",35,"MASCULINO","COAHUILA","NO FELIZ"
"96",45,"FEMENINO","NUEVO LEÓN","NO FELIZ"
"97",60,"MASCULINO","NUEVO LEÓN","NO FELIZ"
"98",61,"FEMENINO","NUEVO LEÓN","FELIZ"
