"","abreviatura","entidad","ene","feb","mar","abr","may","jun","jul","ago","sep","oct","nov","dic","anual","agnio"
"1","AGS","AGUASCALIENTES ",11.4,12.2,15.3,18.3,21.4,22.4,19.9,20.6,20.8,17.5,15,12.7,17.3,"2010"
"2","BC","BAJA CALIFORNIA ",13.9,13.8,14.8,15.9,18.8,23.4,27.2,28.3,26.1,22.1,16.7,15.4,19.7,"2010"
"3","BCS","BAJA CALIFORNIA SUR ",17.7,18.2,19,20.8,23.1,25.4,27.5,29.5,28.3,25.4,20.5,18.1,22.8,"2010"
"4","CAMP","CAMPECHE ",21.6,23.1,24.1,28.6,29.9,29.6,28.4,28.3,28.1,25.9,25,21.4,26.2,"2010"
"5","COAH","COAHUILA ",11.5,12.4,17.1,22.3,26.4,28.5,26.2,28,22.2,22,17.4,13.9,20.7,"2010"
"6","COL","COLIMA ",23.5,23.1,23.8,25.1,26.1,27.6,26.8,27,24.3,27.2,24.8,22.9,25.2,"2010"
"7","CHIS","CHIAPAS ",21,23.3,24,26.7,26.7,26.4,25.3,24.9,25.1,23.9,22.9,21.4,24.3,"2010"
"8","CHIH","CHIHUAHUA ",9.1,10.1,13.4,18.1,21.6,25.7,23.9,24.3,26.6,18.8,13.4,12,18.1,"2010"
"9","CDMX","DISTRITO FEDERAL ",13.1,14.6,18.2,18.8,20.8,20.5,18.1,18.4,17.9,16.6,14.9,12.8,17.1,"2010"
"10","DGO","DURANGO ",10,10.6,13.6,17.7,21.4,23.6,21.6,22.1,20.8,17.5,13.5,11.4,17,"2010"
"11","GTO","GUANAJUATO ",13.2,14.1,17.6,20,22.5,23.1,20.6,21,24.9,17.9,15.8,13.7,18.7,"2010"
"12","GRO","GUERRERO ",22.5,23.3,24.7,26.3,27.7,27,25.4,25.2,20.5,25.6,23.9,21.8,24.5,"2010"
"13","HGO","HIDALGO ",12.7,13.7,16.7,19.4,20.8,21.5,18.8,19.3,19.1,16.3,14.7,12.7,17.2,"2010"
"14","JAL","JALISCO ",15.5,16.4,19,21,24,24.5,22.5,22.8,22.6,20.6,18,17.3,20.4,"2010"
